true_radius,predicted_radius,radius_error,ruler
[1.443],[1.4205434],[0.01556239],1.5684798e-05
[1.443],[1.4209712],[0.01526598],1.5684798e-05
[0.855],[0.84652483],[0.0099125],1.5684798e-05
[0.855],[0.85074455],[0.00497716],1.5684798e-05
[0.855],[0.8454356],[0.01118643],1.5684798e-05
[1.443],[1.4216176],[0.01481797],1.5684798e-05
[1.443],[1.4197912],[0.01608367],1.5684798e-05
[1.443],[1.418107],[0.01725082],1.5684798e-05
[0.855],[0.853723],[0.0014936],1.5684798e-05
[0.855],[0.8453568],[0.01127859],1.5684798e-05
[0.855],[0.85051435],[0.00524639],1.5684798e-05
[0.855],[0.8468296],[0.00955605],1.5684798e-05
[0.855],[0.8488373],[0.00720784],1.5684798e-05
[0.855],[0.8449132],[0.01179747],1.5684798e-05
[1.443],[1.4207251],[0.01543649],1.5684798e-05
[1.443],[1.4198933],[0.01601296],1.5684798e-05
[0.855],[0.84623146],[0.01025562],1.5684798e-05
[1.443],[1.4183975],[0.01704949],1.5684798e-05
[1.443],[1.423051],[0.01382464],1.5684798e-05
[1.443],[1.4192574],[0.01645361],1.5684798e-05
[1.443],[1.4234865],[0.01352286],1.5684798e-05
[0.855],[0.8498498],[0.00602362],1.5684798e-05
[1.443],[1.4236614],[0.01340167],1.5684798e-05
[0.855],[0.84799147],[0.00819714],1.5684798e-05
[0.855],[0.84628385],[0.01019435],1.5684798e-05
[0.855],[0.8495764],[0.0063434],1.5684798e-05
[0.855],[0.84920084],[0.00678266],1.5684798e-05
[0.855],[0.8438676],[0.01302037],1.5684798e-05
[0.855],[0.8488068],[0.00724353],1.5684798e-05
[1.443],[1.4237798],[0.01331955],1.5684798e-05
[1.443],[1.423738],[0.01334855],1.5684798e-05
[1.443],[1.4225087],[0.01420045],1.5684798e-05
[0.855],[0.84792906],[0.00827013],1.5684798e-05
[0.855],[0.847878],[0.00832987],1.5684798e-05
[1.443],[1.4234998],[0.01351361],1.5684798e-05
[1.443],[1.4232159],[0.01371039],1.5684798e-05
[0.855],[0.84361917],[0.01331094],1.5684798e-05
[1.443],[1.4210798],[0.01519072],1.5684798e-05
[0.855],[0.84691733],[0.00945344],1.5684798e-05
